Robot Master,Trivia
Shadow Man,"He is rumored to have been created by an extraterrestrial civilization. His deactivated body was discovered by Dr. Wily, who then remodeled and reprogrammed him for combat. Do you think aliens watch anime too?"
Skull Man,"In Mega Man 4, his AI is not programmed to act until the player moves horizontally or shoots. Many consider Skull Man to be a grandmaster in staring contests."
Slash Man,"His stage in Mega Man 7 may have been inspired by an episode of the Mega Man cartoon called Robosaur Park, which takes place in a tropical park full of robotic dinosaur replicas. However, what more likely happened was that they were both independently inspired by Jurassic Park."
Snake Man,"He is credited to liking Toad Man and disliking slugs. This comes from a Japanese variation of Rock Paper Scissors where Snake beats Toad, Toad beats Slug, and Slug beats Snake."
Sniper Joe,
Spark Man,"Although he allegedly possesses twice the electrical power of Elec Man, his programming makes him somewhat scatterbrained. One might say he has a couple screws loose."
Splash Woman,"She is the first and only female Robot Master, but originally she was going to be a male Robot Master named Ocean Man, whose power would have presumably involved soaking up the thirst of the land. "
Spring Man,"His stage in Mega Man 7 underwent the most drastic change from its development period. In its original build, the stage was an abandoned toy factory that included doll cameos of Ryu and Chun-Li from Street Fighter II, Nina from Breath of Fire and Pure from Adventure Quiz: Capcom World 2. One particularly notable area was Spring Man's boss room which had a giant furnace full of toys being incinerated."
Star Man,The stage select portraits of Star Man and Proto Man in Mega Man 5 are modified versions of each other. The redesign of Star Man’s portrait in 8BDM has garnered some mixed reception.
Stone Man,"He is possibly based on a golem, an animated anthropomorphic being in Jewish folklore that is created entirely from inanimate matter (usually clay or mud). If that is the case, if one were to remove the green gem on Stone Man’s chest, then they might just find a “shem” or the name of God."
Sword Man,"Because of his large blade and Aussie accent, this guy makes me think of that scene in Crocodile Dundee, where Mick Dundee and his gf run into a mugger with a switchblade, and Mick laughs and says, “That’s not a knife.” Then he pulls out a much bigger knife and says, “That’s a knife.”"
Tengu Man,"He has different stage themes in the Saturn and PlayStation versions of Mega Man 8. With his theme from Mega Man & Bass, he's the only classic series Robot Master to have three official stage themes. What a legend."
Time Man,His design is meant to resemble that of a traditional bell-style alarm clock. Clocks are generally used to tell the time.
Toad Man,"We all know he is the easiest boss in Mega Man 4 (if the player shoots him after every hop, he will never attack). That being said, in the Game Gear version, Toad Man hops considerably faster, making avoiding his jumps and attacking him more difficult (he’s probably still easy)."
Tomahawk Man,"He and his stage are believed to represent the United States, as his design appears to incorporate elements of both indigenous North American peoples and Cowboys, while his stage seems to be set in the American Old West. The term “tomahawk,” which refers to a type of single-handed axe, came into the English language in the 17th century as an adaptation of the Powhatan word “tamahaac.”"
Top Man,"The quote from his Mega Man & Bass CD Data is a tediously predictable reference to the 80's hit song ""You Spin Me Round (Like a Record)"" by Dead or Alive. Honestly, he didn’t even try."
Tornado Man,"He was originally Weather Man and his design was based around a weather satellite. If you look at all the concept art, you can see how he started off bearing zero resemblance to Gyro Man whatsoever and evolved into the unfortunate final product you see today. "
Turbo Man,"His weakness to the Noise Crush is likely a reference to the constant issue of mufflers and its effect on automobile engines. Mufflers themselves must be of the right type for the engine they are designed to reduce the noise for said engine's activity. However, a common issue is how mufflers themselves inadvertently reduce engine efficiency by obstructing the exhaust flow and that a damaged one worsens its already existing back pressure."
Uranus,
Venus,
Wave Man,His being weak to the Charge Kick in Mega Man 5 is in reference to how beach waves themselves are able to be overcome with direct head-on force of greater mass and energy behind it. At least in 8BDM he’s able to hang from the ceiling while others have to routinely get Charge Man’s foot rammed up their asses.
Wind Man,"He is believed to represent China. The queue on his head and the meander pattern on his head and belt sort of make this one cut and dry, right?"
Wood Man,"There is a MIDI arrangement of his stage theme known as “mm2wood” and it is notorious for its off-sync instruments, overly loud percussion, and other inaccuracies. It is the basis of a video made on MIDIJam, and watching this video renders just about everything else in life slightly disappointing."
Yamato Man,"The word Yamato means ""great sum,"" ""great harmony,"" or ""great peace"" and is the name used for ancient Japan and the peoples of Japan as a whole. The Yamato is also one of the oldest hereditary monarchies still in existence. It is also the ancient name corresponding to the modern-day Nara prefecture. Yamato Man's head is based off the kabuto-style samurai helmets that often sport ornate crests, which were unique signatures to distinguish certain individuals/families/clans from each other. I can go all day with this guy’s trivia."
Strike Man,
Sheep Man,
Solar Man,
Blast Man,
Tundra Man,
Torch Man,
